H,rule,split,n,mean_bps,gross_bps,gross_t,cost_bps,t_nw,sr,psr0,hit,long_frac,ic,ic_t,ic_months,coin_sd_bps,dsr,p_vs_coin,sr_star,PASS
4,gbm,dev_oof,261.0,-0.2925236553469885,1.2183536184006822,0.40606745860313687,1.5108772737476706,-0.09748575955059068,-0.005942240755182353,0.4619573518510209,0.42528735632183906,0.49808429118773945,0.009204445914828777,1.12303727702865,112.0,,0.2914164403661105,0.0,0.028232167823064352,
4,gbm,holdout,104.0,-8.379367410629753,-6.783906783805716,-0.8292798398673255,1.5954606268240357,-1.0243052598470574,-0.08870606108994532,0.20051053485714032,0.38461538461538464,0.25,0.0013628452196140202,0.1365806607271785,33.0,,0.09459808100889738,1.0,0.04997899770312404,False
4,always_long,dev_oof,14737.0,-1.6555951046894772,,,,-8.62568192876757,-0.0685059079595311,5.47013720617456e-16,,,,,,,,,,
4,always_short,dev_oof,14700.0,-1.4196739227388677,,,,-7.0358597097466165,-0.058734646194145555,2.251978265104989e-12,,,,,,,,,,
4,coin_flip,dev_oof,,-1.5128574902997003,,,,,,,,,,,,0.1848903621744803,,,,
4,always_long,holdout,4487.0,-0.4809325676439499,,,,-0.9268505764939899,-0.014299185459633932,0.17149505583178742,,,,,,,,,,
4,always_short,holdout,4558.0,-2.6523339219097943,,,,-5.165330797872167,-0.07940166638910448,2.3485224406905661e-07,,,,,,,,,,
4,coin_flip,holdout,,-1.3204974242964576,,,,,,,,,,,,0.4543035477914403,,,,
26,tod,dev_oof,3054.0,-0.962405033981404,0.2659615930948105,0.5656269112470118,1.228366627076214,-2.046247608156834,-0.03637439627807244,0.02423159969270376,0.34020956123117224,0.006548788474132285,0.01688334191139824,2.1338097106686598,112.0,,0.0002284251070069945,0.005,0.028232167823064352,
26,tod,holdout,1642.0,-2.029620747755872,-0.6464046806233915,-0.7229552081862602,1.38321606713248,-2.2679945238327703,-0.05488345275054681,0.015181519845843807,0.3325213154689403,0.41291108404384896,0.04462086614476666,3.383610135650775,33.0,,1.7582469144153195e-05,0.87,0.04997899770312404,False
26,mom,dev_oof,10554.0,-1.3283635691544542,-0.04009141735845866,-0.13989470070160195,1.2882721517959952,-4.634672647844863,-0.04402010129302895,4.8742105412814875e-06,0.3355126018571158,0.5150653780557135,0.004117897789004662,0.3531750233043709,112.0,,1.9476106633633055e-13,0.185,0.028232167823064352,
26,mom,holdout,3265.0,-0.13070977038990933,1.2981495203228401,1.745686503808126,1.4288592907127495,-0.17579893581089648,-0.00318419315331799,0.42796343941549214,0.3531393568147014,0.5154670750382848,0.009117029973305976,0.5262901914899315,33.0,,0.0012173347435379313,0.04,0.04997899770312404,False
26,rev,dev_oof,10291.0,-1.099844908459949,0.18753213884835548,0.6060845528363131,1.2873770473083044,-3.55620204143425,-0.0359838801047077,0.000170246413019071,0.3325235642794675,0.4993683801379846,0.012123361520052073,1.6195366854709714,112.0,,8.132208693102965e-11,0.035,0.028232167823064352,
26,rev,holdout,3205.0,-2.5035433184346525,-1.0726725664897878,-1.4326030819074715,1.4308707519448642,-3.341932688283718,-0.06193939003303774,0.000385933713147156,0.3232449297971919,0.49297971918876754,-0.008811914020980947,-0.8904455421254609,33.0,,6.158882028686026e-10,0.99,0.04997899770312404,False
26,trend,dev_oof,10547.0,-1.6160830028231934,-0.3277630518173753,-1.1365554571268033,1.2883199510058179,-5.600259137233287,-0.0537888057593269,3.7250080851033396e-08,0.33431307480800226,0.5103820991751209,-0.037708152040311284,-3.2906739486983128,110.0,,1.164996862469973e-16,0.57,0.028232167823064352,
26,trend,holdout,3284.0,-1.2854829640500054,0.14442995271125275,0.19986082224911136,1.4299129167612583,-1.7790331528565502,-0.031413219188317625,0.0390115257009668,0.3373934226552984,0.5030450669914738,-0.00926543422297922,-0.5680147877690442,33.0,,2.484608978274499e-06,0.52,0.04997899770312404,False
26,ridge,dev_oof,4533.0,-0.9353009123151429,0.36027208112829023,0.7715352206033134,1.2955729934434332,-2.004393268520816,-0.029842774771950114,0.02387805769295362,0.33642179572027353,0.35208471211118464,0.017600512441564586,2.1549964507317654,112.0,,5.852359871225989e-05,0.0,0.028232167823064352,
26,ridge,holdout,1469.0,-1.496500785265306,-0.06802465705976155,-0.05234237747547747,1.4284761282055445,-1.1515444484140847,-0.03293244680060291,0.10998656150879332,0.3301565690946222,0.326072157930565,0.016356176722901534,1.2087432689650575,33.0,,0.0010071565463899126,0.645,0.04997899770312404,False
26,gbm,dev_oof,246.0,-1.1172931094880079,0.4068262231376928,0.09966445548665412,1.5241193326257003,-0.27375319413179444,-0.01749412097809017,0.3926782417493611,0.34959349593495936,0.2764227642276423,0.0023544657998147245,0.3117606777285683,112.0,,0.238276134964373,0.045,0.028232167823064352,
26,gbm,holdout,145.0,1.559520804118119,3.0742689402146866,0.4254332728679924,1.5147481360965678,0.21598195906859782,0.02085060295682018,0.5994045177657201,0.35172413793103446,0.23448275862068965,0.04154385505637117,2.262465795899464,33.0,,0.3625037601180048,0.0,0.04997899770312404,False
26,always_long,dev_oof,10426.0,-1.8123292546332959,,,,-6.332287388492817,-0.06016312985143846,1.3699354875410105e-09,,,,,,,,,,
26,always_short,dev_oof,10429.0,-1.4094205286071848,,,,-4.891833107915523,-0.046609015217921185,1.6402953207576006e-06,,,,,,,,,,
26,coin_flip,dev_oof,,-1.587244355796274,,,,,,,,,,,,0.28101596161075487,,,,
26,always_long,holdout,3227.0,0.07355838059412433,,,,0.09832560678520408,0.0017539117516993984,0.5397248271695501,,,,,,,,,,
26,always_short,holdout,3331.0,-3.002462866665496,,,,-4.073160440283953,-0.07433165256701622,2.4604759121347136e-05,,,,,,,,,,
26,coin_flip,holdout,,-1.2210121172702608,,,,,,,,,,,,0.6730209880812876,,,,
