n_trades,total_return,cagr,sharpe,sortino,max_drawdown,hit_rate,expectancy,avg_win,avg_loss,equity_final,split,seed,algorithm,asset
1636,0.26670731482931376,0.007309969603008115,0.4722826580556884,1.26236032860237,-0.06409055786901977,0.45965770171149145,0.0001469571743271537,0.0021177598479253886,-0.001529562747104829,1.2667073148293138,2,7,ppo,GC=F
1637,0.4313998720248091,0.011103405304677239,0.7348348774251121,1.8377125231499183,-0.032695892719477,0.47831398900427613,0.00022139918884486132,0.002059632337204652,-0.0014640066134569132,1.4313998720248091,2,13,ppo,GC=F
1555,0.22480595641369838,0.006594144267194624,0.4387428534892138,1.0450856268512896,-0.04818061408397729,0.4591639871382637,0.00013271721197342394,0.002065985534766698,-0.0015086069051186066,1.2248059564136984,2,29,ppo,GC=F
1308,0.04380496147555868,0.0016533390649116075,0.11647265578670637,0.30670215964761577,-0.0948606376217937,0.43730886850152906,3.50555886938362e-05,0.0019902754571915343,-0.0014844902873668744,1.0438049614755587,2,7,grpo,GC=F
1729,0.15398001922234128,0.004183468666143941,0.27865870411596955,0.6706326881462567,-0.05557652019202748,0.4476576055523424,8.518683001960937e-05,0.00207532880320082,-0.001527765931490607,1.1539800192223413,2,13,grpo,GC=F
1724,0.5621106632688264,0.013125009563882406,0.8405858900137774,2.137482015729892,-0.044604623922417715,0.48607888631090485,0.000261185012928929,0.0021445183417549193,-0.0015201167134324476,1.5621106632688264,2,29,grpo,GC=F
2067,0.5471673287652694,0.01069826162913623,0.6731502861676428,1.7534595537383408,-0.08228748954281073,0.47701983551040156,0.00021369735764020147,0.0021651909901228,-0.0015662959093605778,1.5471673287652694,3,7,ppo,GC=F
2077,0.42889794944426507,0.008698148029593789,0.5565696748232837,1.3788388816372874,-0.07502607827121756,0.46894559460760715,0.00017431900370752854,0.002126821467146268,-0.001549830950407913,1.428897949444265,3,13,ppo,GC=F
1899,0.3371460549057306,0.007740754667669325,0.49166967941536577,1.2592840529546705,-0.06519819277748978,0.46550816219062663,0.00015552401342660345,0.002155757542430967,-0.0015865512965634035,1.3371460549057306,3,29,ppo,GC=F
1648,0.3824303711808261,0.009953145437395339,0.6215618495959156,1.6184162577356749,-0.041334879082762774,0.470873786407767,0.00019910714572034184,0.0021821672665805142,-0.0015656344297240315,1.3824303711808261,3,7,grpo,GC=F
2040,0.5324794806965061,0.010602431614876284,0.6668709035530812,1.7000637284195457,-0.04403840511079316,0.4769607843137255,0.00021181843874685377,0.0021640893920621455,-0.0015684623837234168,1.532479480696506,3,13,grpo,GC=F
1464,0.2867832793871725,0.008718203712411388,0.5579159573148611,1.3622115480973582,-0.036018313401108976,0.4685792349726776,0.00017471235417680165,0.0021272236439970264,-0.0015469107111402598,1.2867832793871725,3,29,grpo,GC=F
2479,1.0241817355653113,0.014439825801030981,0.6879056511922674,1.3807082549300167,-0.0841593120107738,0.4824526018555869,0.0002889304697484141,0.002603117076072998,-0.0018683315576593818,2.0241817355653113,4,7,ppo,GC=F
2352,1.2423589559581405,0.017454765022449026,0.8270098685286517,1.8951483589901879,-0.04169406119140233,0.48086734693877553,0.0003478334181111513,0.0026408062066535704,-0.0017761241771726125,2.2423589559581405,4,13,ppo,GC=F
2395,1.0517128938987166,0.015238624325187189,0.7146305621311593,1.4106847666393438,-0.07581844405437917,0.4981210855949896,0.000304687225704735,0.002558438834118464,-0.0019321893706659627,2.0517128938987166,4,29,ppo,GC=F
1789,0.9183740534557774,0.018523005429733175,0.930335434523165,2.0028718621663604,-0.04250855339812214,0.4913359418669648,0.0003681594051351487,0.0025384860035140232,-0.001728232990441808,1.9183740534557774,4,7,grpo,GC=F
2443,1.4959078086294597,0.01904877848464226,0.9191779991098078,1.8818559823700765,-0.06217488206930286,0.49570200573065903,0.00037873498471324024,0.0026304924265188254,-0.0018346402279706589,2.4959078086294597,4,13,grpo,GC=F
2492,0.5832032790923125,0.009335557962478092,0.4864433062258311,1.0132188887047486,-0.05064130519873478,0.46348314606741575,0.00018815030439705603,0.0025056173617091677,-0.0018138500330715222,1.5832032790923125,4,29,grpo,GC=F
798,0.1871804798081227,0.010895634034651103,0.7390690688893412,2.1472736555521674,-0.036399258817288616,0.47619047619047616,0.00021720864299437921,0.0020738624100313427,-0.0014706584179483145,1.1871804798081227,5,7,ppo,GC=F
766,0.22437292786191665,0.013408170236699268,0.8874415898210468,2.3316608457889374,-0.03803765764256918,0.4960835509138381,0.0002665708666108724,0.0020785493118404626,-0.0015172421105581538,1.2243729278619166,5,13,ppo,GC=F
819,0.20134125843183703,0.011352488092059465,0.7473077462874274,2.101753349997916,-0.030662336155927446,0.46764346764346765,0.0002263093327690083,0.002150243502934341,-0.0014637521057019143,1.201341258431837,5,29,ppo,GC=F
875,0.10649271375686165,0.005845869818103422,0.3970855947251133,1.1194373127045922,-0.02955670435100992,0.45371428571428574,0.00011787416040313831,0.0020739526119307092,-0.0015067349300915173,1.1064927137568616,5,7,grpo,GC=F
856,0.1453222524410258,0.008020988316365107,0.5342667060057946,1.4599272225307893,-0.03644833653096205,0.4661214953271028,0.00016080213557322846,0.0020933677790276497,-0.0015264925947075457,1.1453222524410258,5,13,grpo,GC=F
882,0.10360405546157203,0.005649109989333656,0.3826337689208589,1.0093242192364813,-0.03663021085712832,0.4501133786848073,0.00011400892917799028,0.0020988835619021582,-0.0015107235021446788,1.103604055461572,5,29,grpo,GC=F
