info,model,exec,algo,split,seed,n,mean_bps,sr,t_nw,hit,long_frac,psr0
causal,60,bracket,ppo,10,7,329,-4.459447390398487,-0.10353765230555124,-1.9502579141595262,0.3586626139817629,0.6838905775075987,0.03684341125153345
causal,61,engine,ppo,10,13,598,2.4718713570395816,0.06467812717737631,1.696662460489687,0.459866220735786,0.31605351170568563,0.9460562283634845
causal,61,next,ppo,10,13,598,-0.7993557444207219,-0.014169581007181634,-0.374994059750356,0.459866220735786,0.31605351170568563,0.3650024988887591
causal,61,bracket,ppo,10,13,598,-1.06380161647872,-0.024571838318665183,-0.5836146149177222,0.39297658862876256,0.31605351170568563,0.27634165388472476
causal,62,engine,ppo,10,29,321,1.110861728187187,0.027679000304490546,0.44588272636413834,0.4517133956386293,0.6822429906542056,0.6911044937853755
causal,62,next,ppo,10,29,321,-2.0533535817699105,-0.03635134502575754,-0.589416110013132,0.4423676012461059,0.6822429906542056,0.25963593724420586
causal,62,bracket,ppo,10,29,321,-3.2749302862806853,-0.07290109705483287,-1.1577680312877336,0.38317757009345793,0.6822429906542056,0.10407576298193527
causal,63,engine,grpo,10,7,664,1.2186870816696036,0.031653064945165135,0.8260752437822905,0.46536144578313254,0.5783132530120482,0.7944838353949019
causal,63,next,grpo,10,7,664,-3.177017788960705,-0.057097428321022964,-1.5146718944008737,0.463855421686747,0.5783132530120482,0.07256829924392484
causal,63,bracket,grpo,10,7,664,-2.9834166821545436,-0.0690525480449927,-1.7472128415075907,0.3825301204819277,0.5783132530120482,0.042663458032079056
causal,64,engine,grpo,10,13,628,3.0902493572657663,0.08063795875186885,2.0373396447048155,0.4729299363057325,0.15764331210191082,0.9804420996490104
causal,64,next,grpo,10,13,627,-1.0175921980582892,-0.018100950179917585,-0.43591406304592634,0.47527910685805425,0.15764331210191082,0.3255713970138968
causal,64,bracket,grpo,10,13,628,-0.4749435778105423,-0.01093740582264599,-0.27447738824290036,0.4028662420382166,0.15764331210191082,0.3923882055912796
causal,65,engine,grpo,10,29,399,2.1781609927174213,0.05412828617656178,1.1392103112020242,0.47117794486215536,0.5639097744360902,0.8635634419574827
causal,65,next,grpo,10,29,399,-3.4408970352924415,-0.05866360837402792,-1.2547752439790876,0.45864661654135336,0.5639097744360902,0.12271236381798539
causal,65,bracket,grpo,10,29,399,-2.815520799594393,-0.06242302706405421,-1.3608570865393246,0.38596491228070173,0.5639097744360902,0.11353456540106599
causal,66,engine,ppo,11,7,455,1.939740029995759,0.04872419943582366,0.9891934193067702,0.46153846153846156,0.4703296703296703,0.8533331724591964
causal,66,next,ppo,11,7,455,-0.8301226850260067,-0.015095699506750168,-0.31317660240364376,0.45714285714285713,0.4703296703296703,0.3744054812074113
causal,66,bracket,ppo,11,7,455,-2.608876707522138,-0.0598629558132366,-1.2217824732173348,0.3868131868131868,0.4703296703296703,0.10709527391777407
causal,67,engine,ppo,11,13,558,-1.8121011564326905,-0.04743592371583041,-1.1147302839377666,0.4121863799283154,0.8369175627240143,0.13592258007420782
causal,67,next,ppo,11,13,558,-7.071522031795922,-0.12652759145920714,-3.115308981358433,0.4032258064516129,0.8369175627240143,0.0017640607706233737
causal,67,bracket,ppo,11,13,558,-5.79423558202931,-0.14019886272449808,-3.1911163230292336,0.34946236559139787,0.8369175627240143,0.0010067065346933384
causal,68,engine,ppo,11,29,300,3.2129239761337844,0.07856340198424672,1.3199562701110288,0.47333333333333333,0.3466666666666667,0.9176307320142474
causal,68,next,ppo,11,29,300,0.2658395665200827,0.004390047753022654,0.07768608175945295,0.47,0.3466666666666667,0.5302752614806506
causal,68,bracket,ppo,11,29,300,-0.435522895208718,-0.009933063292106843,-0.16788696783342877,0.42,0.3466666666666667,0.43205401723694437
causal,69,engine,grpo,11,7,658,-0.1838139177358651,-0.00476971662031945,-0.12042737726101264,0.4316109422492401,0.8145896656534954,0.4514186735152928
causal,69,next,grpo,11,7,658,-5.5230842456987705,-0.09601249109582727,-2.650909372072345,0.43465045592705165,0.8145896656534954,0.007239072761158232
causal,69,bracket,grpo,11,7,658,-3.667063110389796,-0.08823871286085312,-2.1766603697151434,0.3768996960486322,0.8145896656534954,0.014405981092265365
causal,70,engine,grpo,11,13,652,1.0842705656673695,0.028234898373421555,0.7531794555284363,0.4493865030674847,0.9892638036809815,0.766103996133449
causal,70,next,grpo,11,13,652,-3.609435977061521,-0.0640817462656654,-1.7019378725528187,0.44631901840490795,0.9892638036809815,0.05189036185464266
causal,70,bracket,grpo,11,13,652,-3.4109461783359007,-0.08085508534551071,-2.0344813440934564,0.3773006134969325,0.9892638036809815,0.023333848448035325
causal,71,engine,grpo,11,29,94,5.86465480125884,0.13512088662793087,1.322350550119563,0.44680851063829785,0.8936170212765957,0.9114658351257618
causal,71,next,grpo,11,29,94,3.3641415569301505,0.05746782044897541,0.5145116049643638,0.44680851063829785,0.8936170212765957,0.7125852560062302
causal,71,bracket,grpo,11,29,94,1.5867120848884477,0.03440522428970847,0.2962853843770492,0.40425531914893614,0.8936170212765957,0.6315665477258818
causal,72,engine,ppo,12,7,467,3.6499717837440486,0.09209887016467255,2.2102984112166864,0.47751605995717344,0.8993576017130621,0.979281766937384
causal,72,next,ppo,12,7,467,-0.7174276488656156,-0.012049013477386464,-0.29482124340308785,0.47109207708779444,0.8993576017130621,0.3974332073047453
causal,72,bracket,ppo,12,7,467,-1.7271294366118777,-0.04080057427435259,-0.9776581308685354,0.4004282655246253,0.8993576017130621,0.192885221856193
causal,73,engine,ppo,12,13,548,1.85983443176737,0.048371570587157076,1.1239214573368683,0.4635036496350365,0.36496350364963503,0.8741190584745082
causal,73,next,ppo,12,13,548,-2.955270666300976,-0.05322473617184659,-1.213748161062212,0.46897810218978103,0.36496350364963503,0.1077170655206422
causal,73,bracket,ppo,12,13,548,-1.3900977726055217,-0.03228226025325652,-0.7655610461768628,0.41058394160583944,0.36496350364963503,0.22832590522231938
causal,74,engine,ppo,12,29,590,4.505154462949251,0.11355593607714781,2.8144445150997943,0.48983050847457626,0.3389830508474576,0.9977039917769452
causal,74,next,ppo,12,29,589,0.8299979268122109,0.014469307092020527,0.33694250188251246,0.48217317487266553,0.3389830508474576,0.6373793314356486
causal,74,bracket,ppo,12,29,590,0.5497713799755134,0.012461521013156342,0.3095042266241806,0.4101694915254237,0.3389830508474576,0.6194394477893662
causal,75,engine,grpo,12,7,574,1.057189048467466,0.026886113668531525,0.6791234106518627,0.4355400696864111,0.9895470383275261,0.7417525835647678
causal,75,next,grpo,12,7,574,-3.234605633229184,-0.05752828113014076,-1.40306119701901,0.4355400696864111,0.9895470383275261,0.08552569741268828
