H,rule,split,cost_bp,start,days,ann_ret,ann_vol,sharpe,t_nw,alpha_ann,alpha_t,beta,psr0,long_frac,turnover_ann,ic,ic_t,ic_months,coin_sr_sd,dsr,p_vs_coin,sr_star_ann,PASS
5,realrate,holdout,2.0,2019-01-02,1824.0,0.03155933573889516,0.15213356409196888,0.20744492464408895,0.5849838946675551,0.026640704267320292,0.4907969959112261,0.02528770544600452,0.7113461339522017,0.5158991228070176,22.298684210526314,-0.09171720511075981,-1.8784554474091537,64.0,,0.11579803432498381,0.188,0.6527130876870972,False
5,realrate,holdout,4.0,2019-01-02,1824.0,0.027099598896789874,0.15213947111417728,0.1781233936093562,0.5017102482676067,0.022173314776364007,0.40806201824779953,0.025327049302348404,0.6839007047909758,0.5158991228070176,22.298684210526314,-0.09171720511075981,-1.8784554474091537,64.0,,,,,
5,dollar,dev_oof,1.0,2006-06-13,3157.0,-0.007497519892742178,0.16347699929341905,-0.04586284263320216,-0.16323749312959485,0.002445593404704994,0.054454596573237084,-0.12932821068308067,0.4354737998119685,0.4912891986062718,22.55787139689579,-0.11595510276033003,-3.877890333207986,107.0,,,,,
5,dollar,dev_oof,2.0,2006-06-13,3157.0,-0.00975011412777544,0.1634730789824731,-0.05964354613288226,-0.21222572295098133,0.00019254566000536568,0.004285966032525188,-0.12932231196786712,0.4163161766058412,0.4912891986062718,22.55787139689579,-0.11595510276033003,-3.877890333207986,107.0,,0.060238652290352954,0.386,0.37860163361957094,
5,dollar,dev_oof,4.0,2006-06-13,3157.0,-0.014255302597841968,0.1634665079182934,-0.08720625881949651,-0.3101170433595304,-0.00431354982939387,-0.09595499359406484,-0.12931051453744008,0.3786026836300304,0.4912891986062718,22.55787139689579,-0.11595510276033003,-3.877890333207986,107.0,,,,,
5,dollar,holdout,1.0,2019-01-02,1824.0,0.005460857746845582,0.1554720188081198,0.03512437664802728,0.09720948035413914,0.00012593646433120003,0.0021402195804350057,0.027427937780963516,0.5376391972169418,0.4780701754385965,22.298684210526314,-0.09274520383597613,-1.999816252970508,62.0,,,,,
5,dollar,holdout,2.0,2019-01-02,1824.0,0.003230989325792933,0.15547710168142925,0.020781126550797124,0.057474875195261885,-0.002097530421712046,-0.03562386892510225,0.02739502616059625,0.5222890195204067,0.4780701754385965,22.298684210526314,-0.09274520383597613,-1.999816252970508,62.0,,0.04458043262692098,0.348,0.6527130876870972,False
5,dollar,holdout,4.0,2019-01-02,1824.0,-0.0012287475163123424,0.15548859616220675,-0.007902492829959726,-0.02182641431450272,-0.006544464193798652,-0.11100630267982861,0.02732920291986169,0.4915215425594311,0.4780701754385965,22.298684210526314,-0.09274520383597613,-1.999816252970508,62.0,,,,,
5,cot,dev_oof,1.0,2009-06-09,2405.0,0.0010370668216452585,0.11551825223394058,0.008977514822030493,0.02816821064911141,-0.008631243677980863,-0.238501003020872,0.21910922346726552,0.5110572377766344,0.3604989604989605,6.936548856548857,0.5039526306789696,,1.0,,,,,
5,cot,dev_oof,2.0,2009-06-09,2405.0,0.00034341193599037425,0.11551961042718437,0.002972758778535161,0.009327478504563964,-0.009325720876277265,-0.2576997574201038,0.21912785922418884,0.5036625818674698,0.3604989604989605,6.936548856548857,0.5039526306789696,,1.0,,0.12301098043289749,0.308,0.37860163361957094,
5,cot,dev_oof,4.0,2009-06-09,2405.0,-0.001043897835319406,0.11552263758113004,-0.009036305413181815,-0.02835266513611165,-0.010714675272870072,-0.29609717225711657,0.21916513073803548,0.4888636605176371,0.3604989604989605,6.936548856548857,0.5039526306789696,,1.0,,,,,
5,cot,holdout,1.0,2019-01-02,1824.0,-0.03773422109261779,0.08541100073161377,-0.4417957964359849,-1.2251380924885389,-0.024131310316271384,-0.8124832578325256,-0.06993538810712967,0.11968703592511903,0.14967105263157895,4.310526315789474,,,0.0,,,,,
5,cot,holdout,2.0,2019-01-02,1824.0,-0.03816527372419672,0.08540984361024334,-0.4468486548032914,-1.2394042149443827,-0.024562816121050997,-0.8272226291617256,-0.06993305824963161,0.11705086913104062,0.14967105263157895,4.310526315789474,,,0.0,,0.0017063544933067258,0.83,0.6527130876870972,False
5,cot,holdout,4.0,2019-01-02,1824.0,-0.03902737898735462,0.08540780639338143,-0.4569533001186998,-1.2679332548320894,-0.025425827730610185,-0.8567079923241055,-0.06992839853463552,0.11190520067293519,0.14967105263157895,4.310526315789474,,,0.0,,,,,
5,ridge,dev_oof,1.0,2009-06-09,2405.0,-0.030534992342071226,0.1350429982349199,-0.22611311020326108,-0.729740951854706,-0.04321388220220806,-1.1076895177238713,0.28733683219927564,0.24072242605241273,0.6241164241164241,34.51509355509355,0.06918741664772203,2.1996421281263627,115.0,,,,,
5,ridge,dev_oof,2.0,2009-06-09,2405.0,-0.03398231042938935,0.1350360309805384,-0.2516536526039257,-0.8125060710751862,-0.046659275237397796,-1.1965489440586115,0.28729320547907533,0.21647312640360095,0.6241164241164241,34.51509355509355,0.06918741664772203,2.1996421281263627,115.0,,0.024771223967046764,0.668,0.37860163361957094,
